date,самочувствие_MOW_2010_2015,болезнь_MOW_2010_2015,состояние_MOW_2010_2015,работоспособность_MOW_2010_2015,плохое_MOW_2010_2015,организм_MOW_2010_2015,болезни_MOW_2010_2015,организма_MOW_2010_2015,жизнь_MOW_2010_2015,лекарство_MOW_2010_2015,больного_MOW_2010_2015,болезней_MOW_2010_2015,выздоровления_MOW_2010_2015,жизни_MOW_2010_2015,питании_MOW_2010_2015,врача_MOW_2010_2015,пищеварение_MOW_2010_2015,врачи_MOW_2010_2015,организме_MOW_2010_2015,зависит_MOW_2010_2015,лекарства_MOW_2010_2015,больных_MOW_2010_2015,пациента_MOW_2010_2015,лечить_MOW_2010_2015,болезнью_MOW_2010_2015,лечение_MOW_2010_2015,нуждается_MOW_2010_2015,врач_MOW_2010_2015,расстройство_MOW_2010_2015,пациентов_MOW_2010_2015
2018-11-01,50,70,54,79,71,76,63,74,48,57,59,80,29,89,74,50,45,74,66,69,73,24,40,80,74,48,46,78,58,64
2018-12-01,38,68,58,85,78,81,73,78,48,57,65,69,40,87,62,53,51,73,66,73,75,25,42,75,61,50,77,77,56,55
2019-01-01,52,72,54,48,76,81,69,80,54,66,60,66,37,93,82,59,100,85,76,56,83,26,30,100,58,58,68,77,58,41
2019-02-01,45,72,54,50,74,81,69,75,51,66,59,83,40,88,69,63,83,82,80,54,82,28,39,83,84,53,69,88,56,52
2019-03-01,60,99,55,58,61,70,75,78,53,61,64,84,28,86,79,54,52,89,72,67,77,25,37,80,87,54,58,81,61,54
2019-04-01,64,74,53,65,71,78,73,76,50,62,65,76,33,85,82,51,59,87,76,60,79,25,41,75,80,58,61,80,58,56
2019-05-01,48,74,52,59,64,80,75,73,61,52,63,70,20,79,64,42,39,77,67,58,67,24,41,71,71,55,65,76,58,59
2019-06-01,57,82,57,54,68,66,64,67,65,53,57,79,25,64,58,41,40,79,56,37,72,24,34,77,58,52,40,79,59,50
2019-07-01,53,69,42,41,68,62,57,59,55,54,47,62,16,54,51,43,30,87,53,26,74,22,32,74,55,55,51,86,60,50
2019-08-01,60,68,43,44,69,57,54,61,50,58,45,59,16,59,50,46,29,86,61,27,76,23,21,80,36,64,46,83,56,36
2019-09-01,82,82,100,56,67,75,66,78,49,57,63,75,35,86,63,55,36,76,70,53,75,24,39,71,48,55,70,82,67,54
2019-10-01,60,76,77,58,74,77,65,75,46,53,61,85,32,84,70,64,42,88,75,57,81,26,48,73,85,47,79,83,70,56
2019-11-01,64,74,63,69,74,79,67,79,48,55,58,73,30,81,67,57,37,84,70,60,76,25,42,74,53,51,100,82,69,59
2019-12-01,59,82,62,75,73,84,67,80,44,54,65,67,31,83,62,58,43,84,73,69,78,24,44,74,76,50,51,78,71,55
2020-01-01,53,100,55,45,70,83,69,87,48,62,61,64,47,87,67,66,82,86,69,58,84,26,31,76,88,54,64,89,78,50
2020-02-01,69,80,57,59,70,78,68,81,48,63,68,75,44,81,66,65,65,100,82,54,86,33,45,76,84,57,41,93,71,75
2020-03-01,73,85,64,70,78,75,77,78,49,80,80,100,55,84,63,88,50,98,81,67,99,84,48,76,96,50,59,97,67,73
2020-04-01,100,81,81,70,72,94,70,87,57,67,100,83,60,96,84,95,59,92,83,90,100,100,56,73,100,46,99,86,80,100
2020-05-01,86,78,69,70,86,83,73,74,54,64,89,68,73,84,79,79,46,93,79,60,80,57,55,73,54,48,73,88,68,90
2020-06-01,65,78,54,56,75,65,70,66,47,54,58,70,49,62,64,54,37,88,66,44,68,39,50,74,55,43,63,95,65,70
2020-07-01,57,71,46,45,79,65,59,62,46,55,67,71,32,57,65,52,32,95,65,31,72,29,33,72,56,49,67,89,86,56
2020-08-01,57,68,71,51,71,58,58,63,46,57,54,67,28,62,54,60,20,98,57,30,76,27,27,76,49,52,55,94,84,57
2020-09-01,58,73,78,54,76,80,65,80,49,59,63,77,54,87,52,77,20,92,83,61,71,28,47,84,74,45,59,86,87,69
2020-10-01,60,82,66,100,72,82,69,81,50,61,82,79,64,90,66,100,48,96,84,76,86,34,59,75,70,47,50,95,83,87
2020-11-01,59,91,72,79,80,90,71,100,51,63,91,68,86,100,69,100,47,91,100,99,93,33,67,83,94,49,86,98,100,88
2020-12-01,68,89,71,85,74,100,65,85,51,60,92,65,100,93,58,94,55,91,91,100,80,35,60,79,83,48,64,91,86,72
